id,name,type,address,location,phone,email,price_per_night
76,Adams-Murray,Hotel,9076 Lucas Keys,"Agadir, Morocco",(904)499-9143,bridgetalvarado@example.org,210.77
77,Peters-Lawson,Motel,20115 Sonya Key Apt. 228,"Casablanca, Morocco",+1-947-958-1472x1973,yyates@example.net,345.77
78,"Moore, Nichols and Rose",Guesthouse,24133 Victor Trace Apt. 263,"Fes, Morocco",001-980-814-3219,rebekah74@example.net,222.38
79,"Thomas, Hill and Vega",Riyad,910 Wolfe Flats Suite 363,"Rabat, Morocco",001-691-230-1549x6224,kristopher97@example.com,89.66
80,Rowland-Cook,Hotel,2645 Angela Station Suite 590,"Agadir, Morocco",001-624-298-0087x6629,tcallahan@example.com,300.36
81,Ramos-Sanchez,Hostel,45734 Steven Road,"Marrakech, Morocco",8039374438,wwilliams@example.org,102.79
82,Morgan Group,Hotel,03520 Bell Vista Apt. 389,"Casablanca, Morocco",+1-782-630-7702,waltersjoe@example.org,423.51
83,Hudson Ltd,Hostel,8679 David Station,"Tangier, Morocco",(666)822-9352,mward@example.com,222.92
84,Carroll-Jarvis,Hotel,082 Judith Alley Suite 400,"Marrakech, Morocco",238-883-7324,bradshawtiffany@example.net,457.33
85,Daugherty and Sons,Guesthouse,116 Gary Oval Suite 680,"Tangier, Morocco",(303)251-1227,whitneybaker@example.com,409.14
86,Huffman Ltd,Hostel,1463 Mccormick Trail Suite 485,"Tangier, Morocco",679-970-9202,damon18@example.org,100.06
87,Whitaker-Martinez,Hostel,90563 Mccoy Port,"Tangier, Morocco",8286618104,melissawall@example.org,400.48
88,"Stout, Johnson and Schmidt",Hotel,29624 Mejia Isle,"Oujda, Morocco",001-678-634-5356x785,wmeyers@example.net,141.82
89,Goodwin LLC,Riyad,498 Scott Knolls,"Fes, Morocco",442.609.9796x150,gabriela17@example.net,105.06
90,Brady Ltd,Riyad,9384 Clark Plain Suite 741,"Casablanca, Morocco",470-494-6726x4181,matthewhall@example.com,152.36
91,Nguyen-Collins,Hostel,39469 Zavala Extensions Suite 878,"Marrakech, Morocco",739-475-4618,mpadilla@example.org,177.7
92,Jones Ltd,Guesthouse,0509 Gibson Views,"Agadir, Morocco",8633235657,hchase@example.org,311.5
93,Harper PLC,Guesthouse,56157 Brian Fields,"Fes, Morocco",401-478-9798x9765,steven17@example.org,140.16
94,Wright PLC,Motel,88073 Branch Passage Suite 853,"Tangier, Morocco",(877)852-9544,padillachristopher@example.com,251.6
95,"Bradley, Peters and Davis",Riyad,968 Arnold Lake Apt. 277,"Fes, Morocco",217.714.0907,kenneth39@example.com,176.91
96,"Gonzales, Bruce and Edwards",Motel,0777 Gray Gateway Apt. 377,"Tangier, Morocco",+1-976-673-6621,gschroeder@example.net,86.68
97,"Wolfe, Peterson and Rodriguez",Guesthouse,85478 Troy Camp,"Rabat, Morocco",946.777.6090,dustingeorge@example.net,184.48
98,Smith Ltd,Guesthouse,40288 Knight Corner Apt. 563,"Casablanca, Morocco",303.904.4054x91417,smithchristine@example.org,258.34
99,Garcia Ltd,Guesthouse,8332 Michael Fords,"Agadir, Morocco",222.664.8155x862,catherine36@example.com,33.57
100,"Davis, Thompson and Allison",Motel,4921 Laura Ridge Apt. 555,"Casablanca, Morocco",(596)971-3849,jacobsshelly@example.com,427.27
101,Castro PLC,Hotel,3430 John Parks,"Fes, Morocco",518.986.9079x95399,neil96@example.com,362.56
102,Walker PLC,Hotel,97450 Andrea Extensions,"Tangier, Morocco",(842)821-0020x55278,valerie30@example.org,246.34
103,Wong-Martin,Riyad,9825 Thompson Isle,"Oujda, Morocco",+1-508-784-2578,garrettkathleen@example.net,364.21
104,Marquez Inc,Motel,8806 Cross Way Suite 099,"Oujda, Morocco",(205)586-4008,broberts@example.com,343.53
105,Ramos Ltd,Hotel,730 Bullock Stream,"Agadir, Morocco",001-485-349-0393x07474,cindylopez@example.net,492.86
106,"Smith, Murphy and Francis",Motel,01871 Jones Village,"Marrakech, Morocco",616-714-6554,jessica91@example.com,484.75
107,"Franco, Cross and Tate",Hotel,8597 Anderson Lodge Suite 749,"Agadir, Morocco",(259)415-8433x667,kochelizabeth@example.org,484.81
108,"Warren, Vargas and Snyder",Hotel,700 Laura Harbors Apt. 806,"Fes, Morocco",567-282-5296x63928,kellygary@example.org,410.53
109,Gray-Wolf,Guesthouse,445 Bryan Fords Apt. 615,"Casablanca, Morocco",223.429.0977,christopherbailey@example.com,114.53
110,Dougherty Group,Hotel,927 Christine Port Suite 486,"Marrakech, Morocco",+1-816-221-1098x6018,marykramer@example.com,228.4
111,Gray-Williamson,Riyad,7943 Jeremy Plaza,"Fes, Morocco",001-309-928-8028x6630,phart@example.net,202.95
112,"Soto, Ward and Banks",Motel,8106 Gray Wall,"Tangier, Morocco",417.436.7294x698,mary12@example.org,339.57
113,Ryan-Coleman,Riyad,94219 Brown Hills,"Casablanca, Morocco",219.628.1938x33190,osanchez@example.com,86.03
114,Becker LLC,Guesthouse,47012 Le Mills Apt. 718,"Agadir, Morocco",001-725-559-3652x690,lisa75@example.com,126.95
115,"Cardenas, Walker and Hood",Motel,11446 Brown Parks,"Casablanca, Morocco",9156147802,maria67@example.com,258.78
116,"Mack, Lane and Webster",Hostel,568 Emily Junction,"Oujda, Morocco",616.844.5334,samantharodriguez@example.net,468.13
117,Delacruz Ltd,Riyad,860 Taylor Valleys Apt. 350,"Marrakech, Morocco",905.846.7052,timothykerr@example.com,292.5
118,Ramirez LLC,Motel,73851 Jasmine Fort,"Casablanca, Morocco",(360)825-6750x70856,smithpaige@example.org,40.58
119,Harvey-Baker,Hostel,2881 Mueller Shores Apt. 957,"Fes, Morocco",+1-370-410-4038x407,rickeyjackson@example.net,324.92
120,Adams Inc,Guesthouse,888 Daniel Dale,"Fes, Morocco",355.421.9710x7899,ana21@example.com,71.76
121,"Patel, Gould and Jacobson",Motel,7136 Gutierrez Flats,"Agadir, Morocco",001-712-929-6598x78535,graysarah@example.net,411.99
122,"Barker, Ryan and Owens",Guesthouse,551 Hogan Drives Suite 362,"Fes, Morocco",546.876.5732,leonhannah@example.net,350.83
123,Leach Group,Guesthouse,365 Moreno Hills,"Fes, Morocco",+1-999-664-4448x205,mindyhartman@example.com,113.41
124,Bates-Garcia,Motel,239 Anderson Spurs Suite 950,"Tangier, Morocco",(479)483-8010x32519,shannon62@example.net,285.43
125,Smith-Williams,Motel,231 Nicholas Hollow,"Casablanca, Morocco",205-385-8481x31243,frose@example.com,97.49
126,Barnett-Mccoy,Riyad,9806 Williams Centers,"Casablanca, Morocco",536-624-5458x917,torrespeter@example.com,70.74
127,Simmons-Howell,Guesthouse,71029 Alan Mountain,"Agadir, Morocco",538.296.3103x707,jennifer82@example.org,303.26
128,Miller-King,Hostel,31579 Rodriguez Plain Suite 258,"Oujda, Morocco",001-854-779-1881x9106,javierrandolph@example.org,206.18
129,"Knight, Lewis and Myers",Guesthouse,5355 Ashley Manors,"Fes, Morocco",321-231-2262x0688,jonathan47@example.com,470.09
130,Flowers LLC,Riyad,761 Tiffany Brooks Apt. 876,"Marrakech, Morocco",455-510-8785,christina86@example.org,365.51
131,Freeman-Charles,Hostel,876 Madden Center Suite 535,"Marrakech, Morocco",6117845257,qpadilla@example.net,393.05
132,Young LLC,Riyad,14426 Smith Circles Suite 601,"Marrakech, Morocco",001-908-882-3742,ncochran@example.com,399.69
133,Martinez-Galloway,Guesthouse,1163 Flores Island Suite 963,"Rabat, Morocco",8458437657,alexander46@example.com,146.56
134,Santiago-Harvey,Hostel,469 Benjamin Terrace Apt. 301,"Tangier, Morocco",548.542.3020x85592,slawrence@example.org,447.64
135,"Russell, Brady and Hunter",Hostel,2909 Davis Ports Suite 954,"Tangier, Morocco",(225)399-8426x677,jenkinstanya@example.com,299.83
136,Rosario Inc,Riyad,19781 Diane Extensions Suite 713,"Marrakech, Morocco",826-653-8635,michael53@example.org,228.06
137,Washington-Porter,Riyad,740 Smith Falls Apt. 911,"Agadir, Morocco",8515651375,andrea46@example.net,425.61
138,Thomas-Fernandez,Hotel,78804 Weaver Valleys Apt. 280,"Fes, Morocco",270.983.7381x296,aaron15@example.com,206.08
139,"Riddle, Harrison and Hoffman",Guesthouse,1520 Kristen Field,"Casablanca, Morocco",(521)799-3194x963,dean91@example.org,83.54
140,Romero Inc,Hotel,2220 William Squares,"Tangier, Morocco",9043009200,jacobmurray@example.net,446.79
141,Gross LLC,Riyad,1202 Diana Ford Suite 417,"Rabat, Morocco",389.561.6969x23711,ashley49@example.net,319.43
142,Townsend-Wagner,Motel,867 Joshua Estates,"Casablanca, Morocco",001-364-453-6373,hmiller@example.org,445.81
143,Martinez Inc,Guesthouse,519 Foster Valleys Apt. 568,"Casablanca, Morocco",903.639.4993x3512,kwhite@example.com,431.76
144,Mitchell-Tucker,Guesthouse,709 Davis Ports Suite 140,"Casablanca, Morocco",(928)402-7019x43749,vdawson@example.net,387.62
145,Robertson-Valentine,Guesthouse,28736 Livingston Cove,"Oujda, Morocco",4272066852,cherylyates@example.net,395.14
146,Riley and Sons,Motel,16091 Amy Ways,"Rabat, Morocco",810-402-4884x194,zortiz@example.net,331.6
147,Duarte-Smith,Riyad,05798 Mitchell Lake Apt. 333,"Fes, Morocco",001-901-741-4274x3478,fwagner@example.net,167.9
148,Franco and Sons,Guesthouse,418 Ramsey Mountain Apt. 717,"Rabat, Morocco",001-206-544-5146x4055,cturner@example.com,82.34
149,Phillips-Murray,Riyad,7642 Javier Junctions,"Agadir, Morocco",4359828478,zhangmary@example.net,202.1
150,Anderson-Stafford,Motel,31363 William Manors Suite 537,"Oujda, Morocco",+1-275-986-6381x7809,garciaeugene@example.net,54.04
151,Saunders Inc,Motel,515 Scott Common Suite 781,"Rabat, Morocco",353-307-4170x24825,wallaceangelica@example.org,220.65
152,Hayden Ltd,Hostel,420 Watson Unions,"Oujda, Morocco",+1-973-316-9270,heathheather@example.net,380.59
153,Weiss-Maldonado,Guesthouse,5521 Bradford Circles,"Casablanca, Morocco",4249160732,david13@example.com,261.28
154,Little-Wyatt,Guesthouse,174 Wallace Rapid Suite 294,"Agadir, Morocco",001-446-762-2982x284,drodriguez@example.net,443.24
155,Campos-Ellis,Guesthouse,448 Patton Ridge Apt. 882,"Marrakech, Morocco",401.508.7818x5151,jonesvictoria@example.org,394.21
156,"Gonzalez, Brown and Young",Hostel,055 Martinez Brooks Apt. 282,"Tangier, Morocco",(552)596-4591,lauraday@example.com,89.79
157,Pratt Group,Hotel,58137 Andrade Groves Apt. 147,"Rabat, Morocco",+1-604-246-9280x64978,andrewschroeder@example.org,394.99
158,"Roberts, Stanley and Owens",Motel,515 Amber Orchard,"Fes, Morocco",(347)770-4061,robinsonmarcus@example.org,487.82
159,Powers and Sons,Riyad,048 Donaldson Coves,"Rabat, Morocco",+1-274-976-1327,elewis@example.com,152.85
160,Bradley Group,Riyad,220 Adams Inlet,"Casablanca, Morocco",(999)234-7424,donald49@example.com,104.83
161,"Morgan, Hunter and Chandler",Motel,28664 Kristine Ford,"Casablanca, Morocco",001-828-627-7649x72466,jenniferclarke@example.com,332.5
162,"Burke, Pittman and White",Hostel,49214 Sanchez Courts,"Rabat, Morocco",+1-481-216-4514x89530,ataylor@example.com,361.78
163,"Porter, Christian and Hansen",Hotel,373 Andrea Underpass Suite 103,"Rabat, Morocco",+1-449-414-8266,freemanamanda@example.net,376.97
164,Carlson Inc,Guesthouse,640 Charlotte Walks Suite 929,"Tangier, Morocco",+1-394-241-1896x952,william04@example.net,170.85
165,"Merritt, Bradshaw and Owens",Guesthouse,81912 Stephen Hills Apt. 670,"Oujda, Morocco",(416)917-7611,curtismarie@example.org,464.28
166,Morris Group,Riyad,8392 Valdez Union,"Oujda, Morocco",001-822-673-7056x466,johnwells@example.com,85.37
167,Martinez-Bautista,Guesthouse,4103 Rebecca Motorway Apt. 689,"Tangier, Morocco",634-788-4800x0387,sturner@example.org,84.89
168,"Singleton, Rodriguez and Golden",Motel,7043 Morton Garden Suite 996,"Marrakech, Morocco",785-741-4728x461,andersonnicholas@example.com,147.76
169,Myers PLC,Hostel,10462 Smith Common Apt. 739,"Oujda, Morocco",+1-762-596-2396x01337,hperry@example.com,125.96
170,"Powell, Berry and Stanley",Motel,82011 Abigail Route,"Fes, Morocco",(577)820-5203,rthomas@example.net,463.5
171,Shea-Rodriguez,Riyad,4991 Wilson Neck Suite 809,"Marrakech, Morocco",542-399-1249,michael35@example.com,483.33
172,Knapp-Anderson,Motel,19967 Taylor Village Apt. 318,"Rabat, Morocco",+1-956-943-6618x8167,michelle50@example.org,32.42
173,Jones-Holmes,Riyad,762 Susan Estates,"Oujda, Morocco",+1-969-220-0206x299,hrobinson@example.net,337.5
174,Leon-Martinez,Riyad,9672 Kevin Forest Suite 104,"Rabat, Morocco",+1-817-985-9373x41088,cford@example.net,36.94
175,"Murphy, Campos and Fox",Hostel,3101 Matthew Crossing,"Agadir, Morocco",(828)476-8811,imorris@example.net,406.7
176,Davis-Hensley,Motel,751 Joel Track,"Fes, Morocco",314-297-4984,florescharlotte@example.org,367.08
177,Meyer PLC,Hostel,845 Clark Groves,"Agadir, Morocco",3065163132,derekosborne@example.org,172.66
178,"Freeman, Watkins and Brennan",Riyad,930 Thompson Station Apt. 570,"Rabat, Morocco",+1-612-884-6403x63784,katieduncan@example.org,146.0
179,Smith-Preston,Hotel,89134 Glover Field,"Oujda, Morocco",001-455-535-9166x37616,garrett17@example.org,168.79
180,Cross-Cook,Guesthouse,9568 Barr Falls Suite 862,"Oujda, Morocco",858-500-7142,timothyburke@example.com,329.55
181,Rivera Ltd,Riyad,8724 Veronica Forge Apt. 037,"Tangier, Morocco",+1-528-447-5364,stephenstodd@example.org,360.11
182,Miller PLC,Hotel,347 Knapp Freeway,"Marrakech, Morocco",+1-202-218-3110,jacksonamy@example.org,87.3
183,"Thomas, Massey and Martinez",Hotel,717 Welch Via Apt. 170,"Tangier, Morocco",001-494-660-8139,mgibson@example.net,407.0
184,Gray-Franco,Motel,49646 Malone Pass Apt. 662,"Marrakech, Morocco",001-944-474-8710x28530,rodriguezmichael@example.org,499.22
185,Mann PLC,Hostel,719 Kelsey Alley,"Casablanca, Morocco",+1-485-772-9627x9545,boydantonio@example.org,153.56
186,Ramos-King,Hostel,407 Andrew Lake Apt. 137,"Casablanca, Morocco",001-956-824-2607,briannawilson@example.net,41.46
187,"Haley, Parker and Crawford",Hotel,2829 Edwards Walk Apt. 052,"Rabat, Morocco",418.660.1733,relliott@example.org,139.34
188,"Meyer, Singleton and Wright",Motel,64352 Heather Meadow Apt. 012,"Oujda, Morocco",+1-905-732-2997x1461,noah98@example.com,68.27
189,Rivera-Good,Hotel,631 Regina Center,"Casablanca, Morocco",649.340.1462x385,zwatts@example.net,423.69
190,Gay PLC,Guesthouse,2814 Barker Divide Suite 405,"Casablanca, Morocco",672.799.0998x125,wdixon@example.com,278.28
191,Green-Holder,Motel,6757 Garcia Summit,"Oujda, Morocco",423.548.6303x70798,gclark@example.net,413.11
192,Price-Hill,Hostel,466 Watson Dale,"Fes, Morocco",869.952.3248x527,robertsonlarry@example.net,417.39
193,Rivera-Macias,Hostel,702 Thomas Forest Suite 611,"Marrakech, Morocco",482.253.9626x0894,onavarro@example.org,329.96
194,"Scott, Jones and Grimes",Hostel,1080 Adam Parks,"Casablanca, Morocco",976-318-6875x3105,matthew41@example.org,456.9
195,"Robinson, Blackwell and Arroyo",Hostel,941 Collins River,"Agadir, Morocco",+1-815-669-0595,npena@example.org,139.92
196,"Phillips, Lee and Mcneil",Hotel,94579 Donna Stravenue,"Tangier, Morocco",665.953.5768x84891,michael03@example.com,342.19
197,"Kelly, Nelson and Spears",Riyad,060 Susan Common Suite 005,"Fes, Morocco",621.513.5541,watkinson@example.com,75.63
198,"Martin, Scott and Carpenter",Hotel,77918 Rebecca Street Suite 845,"Agadir, Morocco",001-713-717-5307,cynthia76@example.org,179.76
199,Gay Group,Hostel,19475 John Grove Suite 801,"Casablanca, Morocco",469.867.7543x1842,brownjean@example.com,75.87
200,"Brooks, Green and Carey",Guesthouse,9636 Cristian Freeway Apt. 595,"Oujda, Morocco",457-324-8079,rodriguezfaith@example.com,383.32
