rating_id,user_id,service_id,rating
153,153,31,4.7
154,38,12,3.6
155,50,329,2.9
156,259,340,1.8
157,272,122,4.5
158,4,503,4.4
159,242,333,4.7
160,46,244,3.6
161,95,178,4.6
162,265,395,3.5
163,143,146,4.9
164,248,242,3.1
165,297,422,3.3
166,65,60,2.5
167,99,42,2.4
168,174,556,2.4
169,131,517,4.0
170,138,53,1.2
171,159,53,3.4
172,18,177,2.2
173,91,475,4.7
174,75,125,2.9
175,297,105,3.1
176,158,411,3.1
177,283,481,4.2
178,25,491,3.9
179,225,26,4.8
180,132,369,2.0
181,144,301,4.4
182,196,233,3.3
183,174,334,3.5
184,147,6,4.5
185,224,552,1.1
186,55,284,1.7
187,58,480,3.8
188,172,509,2.1
189,254,151,1.1
190,165,572,4.0
191,88,111,1.5
192,285,61,2.1
193,151,35,3.4
194,196,488,2.7
195,121,260,4.7
196,296,205,4.7
197,100,522,1.2
198,295,72,3.4
199,138,43,2.8
200,82,34,2.6
201,194,538,3.3
202,35,464,3.5
203,290,383,4.1
204,272,118,2.1
205,98,164,2.3
206,279,139,2.0
207,188,109,3.5
208,117,443,2.7
209,51,159,1.7
210,54,153,4.3
211,132,586,2.6
212,299,370,3.1
213,137,42,3.9
214,99,342,1.9
215,3,447,3.7
216,99,265,1.7
217,69,4,2.5
218,245,199,2.2
219,281,64,3.4
220,228,147,4.2
221,259,142,1.7
222,132,326,3.2
223,30,420,1.3
224,37,466,4.3
225,280,193,1.3
226,115,444,2.1
227,94,193,4.2
228,264,204,3.4
229,15,537,4.7
230,244,466,4.9
231,198,280,2.6
232,211,78,4.9
233,81,75,2.1
234,55,110,1.6
235,158,484,1.6
236,38,447,4.2
237,179,353,1.5
238,272,62,2.4
239,270,595,2.7
240,153,587,2.0
241,51,165,3.3
242,227,344,2.9
243,22,478,2.5
244,112,203,1.5
245,218,205,3.4
246,62,79,3.4
247,147,233,1.3
248,71,411,2.6
249,105,571,3.9
250,122,253,1.9
251,279,333,2.8
252,174,374,2.5
253,250,390,4.7
254,189,462,1.6
255,10,107,2.9
256,164,223,2.7
257,54,512,4.9
258,36,595,1.5
259,99,476,1.2
260,203,216,1.0
261,125,475,3.1
262,98,407,3.2
263,144,18,1.4
264,270,80,1.6
265,246,159,4.3
266,200,262,4.5
267,247,34,2.9
268,163,89,1.9
269,252,452,4.4
270,282,404,3.9
271,2,569,2.5
272,130,585,2.3
273,44,15,2.4
274,141,140,2.6
275,272,355,4.1
276,281,158,1.8
277,166,177,4.9
278,50,323,2.1
279,14,200,4.2
280,221,164,4.0
281,75,293,1.0
282,158,474,2.4
283,224,78,4.2
284,268,519,1.6
285,156,586,1.5
286,80,66,1.6
287,91,546,2.3
288,29,521,4.7
289,285,260,2.8
290,236,403,3.3
291,79,579,4.6
292,189,191,1.1
293,119,140,3.3
294,189,489,4.6
295,17,269,3.0
296,80,95,2.8
297,199,517,3.5
298,199,22,1.7
299,180,392,3.2
300,267,271,4.6
301,128,490,3.3
302,113,48,4.4
303,223,19,2.5
304,78,343,4.5
305,34,346,1.6
306,144,455,3.6
307,35,382,4.8
308,90,458,2.3
309,234,67,2.0
310,224,361,5.0
311,117,41,4.7
312,69,147,4.0
313,163,109,2.8
314,144,513,2.0
315,272,37,2.2
316,136,369,2.4
317,94,175,4.5
318,214,178,4.7
319,282,54,2.6
320,24,390,3.5
321,92,449,4.8
322,174,177,4.4
323,121,44,4.9
324,25,367,1.6
325,287,274,4.0
326,54,217,2.2
327,266,202,2.5
328,221,527,1.8
329,288,393,3.2
330,165,191,2.7
331,1,532,1.1
332,95,518,3.5
333,47,42,4.8
334,109,234,2.1
335,93,290,2.2
336,159,1,3.4
337,208,521,2.9
338,97,341,2.8
339,118,316,3.4
340,162,215,2.6
341,181,375,4.9
342,180,132,3.9
343,194,597,3.7
344,112,373,2.0
345,76,270,4.3
346,286,178,4.8
347,277,522,1.8
348,149,582,2.9
349,196,461,2.2
350,3,521,2.2
351,181,16,4.2
352,39,29,4.9
353,275,304,3.7
354,248,464,2.7
355,206,345,3.0
356,188,156,1.5
357,172,285,2.4
358,16,170,4.8
359,51,66,2.7
360,50,582,1.7
361,230,377,3.0
362,231,12,4.1
363,86,15,4.6
364,45,403,4.5
365,278,78,4.9
366,23,563,4.8
367,196,423,4.7
368,283,169,4.4
369,61,440,3.3
370,169,298,2.0
371,294,455,1.4
372,45,554,1.2
373,109,548,4.8
374,251,214,1.6
375,124,427,3.6
376,234,12,2.2
377,286,398,2.1
378,206,362,1.3
379,151,111,1.0
380,97,347,3.3
381,43,366,2.1
382,31,318,3.4
383,206,219,2.6
384,75,175,4.6
385,285,579,3.8
386,197,127,2.0
387,198,344,3.1
388,117,593,3.8
389,19,376,3.0
390,197,526,3.7
391,213,449,3.3
392,31,123,2.2
393,9,228,4.3
394,268,136,1.4
395,268,372,2.6
396,272,441,4.5
397,75,267,3.5
398,232,115,1.5
399,218,425,1.4
400,143,409,3.6
